
Av.Distance(km),Cosines,Haversine,Vincenty,ChordL,Pythagoras,Polar
4.377,4377.421772057,4377.421772353,4377.421772353,4377.421772353,4377.421871159,19398.677812057
4.552,4551.625489378,4551.625489300,4551.625489300,4551.625489300,4551.625519296,11499.704142443
4.581,4581.156276292,4581.156275681,4581.156275682,4581.156275682,4581.156578402,12904.957690112
4.817,4816.815090092,4816.815090387,4816.815090387,4816.815090387,4816.815134522,14103.914555794
4.819,4818.933947399,4818.933947363,4818.933947363,4818.933947363,4818.933969917,7766.113268545
4.836,4836.370406694,4836.370407183,4836.370407183,4836.370407183,4836.370413465,5999.580131158
4.881,4881.370934590,4881.370934065,4881.370934065,4881.370934065,4881.370944893,6409.676130539
5.075,5074.510583407,5074.510584295,5074.510584295,5074.510584295,5074.510692818,14232.449659308
5.215,5214.777460476,5214.777460590,5214.777460590,5214.777460591,5214.777485893,8948.734608071
5.301,5301.441834785,5301.441835300,5301.441835300,5301.441835300,5301.441873560,8023.257099015
5.353,5352.942930298,5352.942930246,5352.942930246,5352.942930245,5352.943021580,12854.330658117
5.539,5539.139277063,5539.139276253,5539.139276253,5539.139276253,5539.139322773,6444.383551061
5.757,5756.784556656,5756.784557534,5756.784557534,5756.784557534,5756.784624052,7495.509334627
5.777,5776.559227063,5776.559226220,5776.559226220,5776.559226220,5776.559271496,16096.272384745
5.918,5918.042450627,5918.042451230,5918.042451230,5918.042451230,5918.042575235,12296.815644697
5.991,5991.020900401,5991.020900239,5991.020900239,5991.020900239,5991.059558912,226445.709770670
6.053,6052.718516062,6052.718516059,6052.718516059,6052.718516059,6052.718733722,8742.052777287
6.127,6127.111334614,6127.111334892,6127.111334892,6127.111334892,6127.111341984,6370.175806291
6.161,6160.526303876,6160.526303555,6160.526303555,6160.526303555,6160.526387486,11393.403415250
6.275,6274.518234912,6274.518234676,6274.518234676,6274.518234676,6274.518285851,7373.366640338
6.670,6669.880677362,6669.880676606,6669.880676606,6669.880676605,6669.880892561,17673.032044590
6.732,6731.732677339,6731.732677171,6731.732677170,6731.732677170,6731.732821247,20265.408500166
7.183,7183.107995401,7183.107995639,7183.107995639,7183.107995639,7183.108125350,12095.919576574
8.173,8173.014900760,8173.014900613,8173.014900612,8173.014900613,8173.014918445,9333.883812056
10.128,10127.638543779,10127.638543321,10127.638543321,10127.638543321,10127.638812636,26296.996297398
11.728,11728.362663720,11728.362663825,11728.362663825,11728.362663825,11728.373248524,136917.818626697
12.313,12312.651799152,12312.651799136,12312.651799135,12312.651799135,12312.666645625,69582.341809320
