
Av.Distance(km),Cosines,Haversine,Vincenty,ChordL,Pythagoras,Polar
12722.601,12722600.586430943,12722600.586430943,12722600.586430943,12722600.586430943,13202598.853999365,22097492.493544824
12782.061,12782061.405473180,12782061.405473184,12782061.405473178,12782061.405473180,13070959.996083878,17440264.125551421
12818.628,12818627.589558652,12818627.589558655,12818627.589558652,12818627.589558655,18560277.739373643,46335826.389265038
12935.970,12935969.990137970,12935969.990137968,12935969.990137970,12935969.990137968,14186003.881680747,31763920.011844363
12960.688,12960688.356943101,12960688.356943103,12960688.356943101,12960688.356943103,13865269.155724686,31429926.313654710
12974.451,12974450.851498485,12974450.851498485,12974450.851498485,12974450.851498485,28087805.232187949,34194877.584658094
13048.325,13048324.656796444,13048324.656796448,13048324.656796444,13048324.656796444,14023796.438749043,30094318.305439387
13053.183,13053183.259152604,13053183.259152604,13053183.259152604,13053183.259152604,17153695.582532335,46464527.685036153
13128.887,13128886.789460370,13128886.789460370,13128886.789460370,13128886.789460370,15999600.742096938,36592088.594638333
13247.514,13247513.618221432,13247513.618221432,13247513.618221432,13247513.618221432,14482469.381813347,32570494.939077377
13279.785,13279784.727248883,13279784.727248883,13279784.727248883,13279784.727248883,15863035.546463134,39082147.785139322
13343.844,13343843.635982247,13343843.635982247,13343843.635982247,13343843.635982247,14081098.026610134,24756443.791941307
13539.495,13539495.111158952,13539495.111158952,13539495.111158952,13539495.111158952,15367394.775152683,43752210.909943156
13734.075,13734075.147072224,13734075.147072224,13734075.147072224,13734075.147072224,13834625.065358229,15115472.260972867
13940.315,13940314.805509800,13940314.805509796,13940314.805509800,13940314.805509802,14996332.595815092,31169245.417225543
13984.662,13984661.887351789,13984661.887351787,13984661.887351789,13984661.887351792,16641973.048829099,26882746.492392033
14010.605,14010604.785879554,14010604.785879554,14010604.785879554,14010604.785879556,32751021.327453405,24111777.155173033
14058.678,14058677.885658361,14058677.885658359,14058677.885658361,14058677.885658365,15117160.788125588,20359468.067627583
14187.461,14187460.848818200,14187460.848818200,14187460.848818200,14187460.848818196,14682053.578577964,35585055.241181970
14274.748,14274748.080247169,14274748.080247169,14274748.080247169,14274748.080247171,19079022.358060490,33219199.901812088
14455.887,14455886.576655209,14455886.576655209,14455886.576655209,14455886.576655213,18129389.497935858,45588002.680628486
14586.652,14586652.253523091,14586652.253523096,14586652.253523095,14586652.253523091,35234473.627785787,19568402.582668111
14643.662,14643661.771113390,14643661.771113385,14643661.771113390,14643661.771113390,15285881.327706177,22586912.871866830
15059.980,15059979.571396150,15059979.571396148,15059979.571396148,15059979.571396144,16496187.452016061,34759323.507232502
15107.405,15107405.256849956,15107405.256849959,15107405.256849956,15107405.256849956,20716808.150006898,43396692.855526313
15212.679,15212678.646736205,15212678.646736206,15212678.646736205,15212678.646736201,19291725.980433371,35224746.319650717
15350.426,15350425.513500335,15350425.513500329,15350425.513500335,15350425.513500335,22347811.877150875,42509284.681658775
15366.306,15366305.811825139,15366305.811825138,15366305.811825139,15366305.811825145,17899108.184742127,34756812.544441767
15433.018,15433017.981302515,15433017.981302513,15433017.981302513,15433017.981302513,17420263.894196607,43574494.027776755
15475.824,15475824.362963948,15475824.362963950,15475824.362963948,15475824.362963950,16815908.496217538,30253433.011899851
15572.188,15572188.313725647,15572188.313725650,15572188.313725647,15572188.313725645,17015872.474388454,31808101.494682167
15661.116,15661115.735435477,15661115.735435480,15661115.735435480,15661115.735435480,18401006.337178387,35577145.723732807
15765.188,15765187.835973043,15765187.835973049,15765187.835973043,15765187.835973043,15832415.025496230,16328173.030841473
15799.883,15799883.098208155,15799883.098208154,15799883.098208155,15799883.098208154,23822802.514269419,41528297.653282374
15916.297,15916296.829856146,15916296.829856141,15916296.829856146,15916296.829856146,15923465.962374650,16015313.871046694
16175.321,16175320.666083116,16175320.666083118,16175320.666083116,16175320.666083116,17921394.124953642,29241500.874125607
16191.198,16191197.955194762,16191197.955194760,16191197.955194762,16191197.955194766,17756403.601146065,29870559.348393597
16271.264,16271264.316292785,16271264.316292785,16271264.316292785,16271264.316292785,20524089.423797444,39459438.656474173
16327.721,16327721.389226744,16327721.389226748,16327721.389226744,16327721.389226742,19487329.985614054,40720670.505647309
16504.502,16504502.446204703,16504502.446204701,16504502.446204703,16504502.446204703,26109122.647252105,41766836.921574384
16663.808,16663808.047476692,16663808.047476696,16663808.047476692,16663808.047476696,16733623.510591084,17184682.202617329
16988.169,16988168.730448347,16988168.730448347,16988168.730448347,16988168.730448347,19016143.717948910,36975573.129754230
17034.136,17034136.374626536,17034136.374626532,17034136.374626536,17034136.374626540,20177066.192739177,30627787.708637450
17049.544,17049543.914293412,17049543.914293416,17049543.914293412,17049543.914293412,17097107.577408690,17571689.879992176
17059.723,17059722.786930110,17059722.786930114,17059722.786930110,17059722.786930114,37212046.449496955,25095257.754932366
17114.013,17114013.252902202,17114013.252902202,17114013.252902202,17114013.252902210,19414700.293580070,33851101.803346597
17294.823,17294823.131685607,17294823.131685603,17294823.131685607,17294823.131685603,26008158.924617711,37244348.362708755
17306.207,17306206.992778338,17306206.992778338,17306206.992778335,17306206.992778338,18897626.732628155,37605404.791498043
17354.484,17354484.090422556,17354484.090422548,17354484.090422556,17354484.090422556,22470486.314022481,40931911.829428785
17590.240,17590240.009887341,17590240.009887341,17590240.009887338,17590240.009887341,28468799.622198947,36904923.009347498
17745.266,17745265.765758544,17745265.765758544,17745265.765758540,17745265.765758544,19236826.692042682,28050363.442171853
17855.560,17855560.180584252,17855560.180584252,17855560.180584252,17855560.180584252,18469549.557659753,22398937.419748943
18456.324,18456324.077188239,18456324.077188227,18456324.077188239,18456324.077188239,31208682.443477124,35810698.545193784
18668.001,18668001.441278681,18668001.441278685,18668001.441278681,18668001.441278685,22231623.876822818,40181450.929788999
18852.734,18852733.665095966,18852733.665095955,18852733.665095966,18852733.665095974,28580751.846420616,40067757.322519526
19264.438,19264438.422905114,19264438.422905099,19264438.422905117,19264438.422905121,22330122.279441610,39341687.124269478
19654.664,19654663.952873457,19654663.952873446,19654663.952873461,19654663.952873446,22680823.599489044,33340461.343383640
